species_name,sex,weight
Dipodomys_merriami,F,38
Perognathus_flavus,F,7
Dipodomys_merriami,M,45
Dipodomys_merriami,M,52
Dipodomys_merriami,M,50
Dipodomys_merriami,M,51
Dipodomys_spectabilis,F,126
Dipodomys_merriami,F,39
Onychomys_torridus,F,24
Onychomys_torridus,F,23
Dipodomys_merriami,F,40
Dipodomys_merriami,M,41
Dipodomys_merriami,M,46
Onychomys_torridus,M,25
Peromyscus_eremicus,M,25
Dipodomys_merriami,F,39
Dipodomys_merriami,F,42
Dipodomys_merriami,M,39
Onychomys_torridus,F,23
Dipodomys_spectabilis,F,124
Dipodomys_spectabilis,F,114
Dipodomys_merriami,M,44
Dipodomys_merriami,M,48
Dipodomys_merriami,F,44
Dipodomys_spectabilis,F,132
Dipodomys_spectabilis,F,137
Dipodomys_merriami,M,39
Dipodomys_merriami,F,56
Onychomys_leucogaster,F,35
Onychomys_torridus,F,22
Onychomys_torridus,M,25
Dipodomys_spectabilis,M,154
Dipodomys_merriami,M,49
Dipodomys_merriami,F,44
Dipodomys_merriami,F,35
Dipodomys_merriami,F,36
Dipodomys_merriami,F,39
Dipodomys_spectabilis,F,133
Dipodomys_merriami,M,50
Dipodomys_merriami,M,43
Dipodomys_merriami,F,40
Dipodomys_merriami,M,45
Dipodomys_merriami,M,44
Neotoma_albigula,M,228
Dipodomys_spectabilis,F,144
Dipodomys_merriami,F,46
Dipodomys_merriami,M,48
Perognathus_flavus,F,7
Dipodomys_merriami,M,45
Perognathus_flavus,M,8
Dipodomys_spectabilis,F,133
Dipodomys_merriami,F,40
Neotoma_albigula,M,232
Dipodomys_spectabilis,F,128
Dipodomys_spectabilis,M,153
Onychomys_torridus,F,22
Onychomys_torridus,F,21
Dipodomys_merriami,M,53
Perognathus_flavus,F,8
Onychomys_torridus,M,25
Dipodomys_merriami,M,43
Dipodomys_merriami,F,43
Onychomys_leucogaster,M,38
Dipodomys_merriami,F,42
Onychomys_torridus,M,26
Dipodomys_spectabilis,F,146
Onychomys_torridus,F,25
Peromyscus_eremicus,M,28
Perognathus_flavus,M,8
Peromyscus_eremicus,F,29
Dipodomys_spectabilis,M,122
Dipodomys_spectabilis,M,137
Dipodomys_spectabilis,M,131
Dipodomys_spectabilis,F,125
Dipodomys_merriami,M,43
Dipodomys_spectabilis,F,69
Dipodomys_spectabilis,F,141
Dipodomys_spectabilis,M,138
Dipodomys_merriami,M,43
Dipodomys_spectabilis,F,124
Dipodomys_merriami,F,43
Dipodomys_merriami,F,45
Dipodomys_merriami,M,46
Dipodomys_merriami,F,43
Dipodomys_merriami,M,49
Dipodomys_merriami,M,47
Onychomys_torridus,M,26
Dipodomys_spectabilis,M,152
Dipodomys_merriami,F,44
Dipodomys_merriami,M,48
Onychomys_torridus,M,29
Dipodomys_merriami,F,44
Dipodomys_merriami,M,49
Dipodomys_merriami,M,45
Dipodomys_merriami,F,51
Dipodomys_ordii,M,57
Dipodomys_spectabilis,F,134
Dipodomys_merriami,F,44
Onychomys_leucogaster,F,30
Onychomys_torridus,F,35
Dipodomys_merriami,M,48
Dipodomys_spectabilis,F,146
Dipodomys_merriami,F,37
Dipodomys_merriami,M,46
Dipodomys_spectabilis,F,110
Dipodomys_merriami,M,26
Dipodomys_merriami,M,44
Dipodomys_merriami,M,48
Dipodomys_merriami,M,39
Dipodomys_merriami,M,44
Dipodomys_merriami,M,45
Onychomys_torridus,M,27
Dipodomys_merriami,M,36
Dipodomys_merriami,M,51
Dipodomys_merriami,F,45
Dipodomys_merriami,M,47
Dipodomys_spectabilis,F,90
Onychomys_torridus,M,23
Dipodomys_merriami,M,49
Dipodomys_spectabilis,M,131
Dipodomys_spectabilis,F,114
Dipodomys_merriami,M,42
Dipodomys_spectabilis,M,148
Dipodomys_spectabilis,F,76
Dipodomys_spectabilis,M,141
Dipodomys_merriami,F,42
Dipodomys_spectabilis,F,121
Dipodomys_merriami,M,44
Dipodomys_ordii,F,55
Dipodomys_spectabilis,M,133
Dipodomys_spectabilis,M,142
Dipodomys_spectabilis,F,142
Dipodomys_merriami,F,46
Dipodomys_merriami,F,50
Dipodomys_spectabilis,F,142
Dipodomys_spectabilis,F,84
Dipodomys_merriami,M,42
Dipodomys_spectabilis,F,142
Dipodomys_spectabilis,F,118
Dipodomys_merriami,F,43
Dipodomys_spectabilis,F,132
Dipodomys_spectabilis,F,75
Dipodomys_merriami,F,49
Dipodomys_spectabilis,M,168
Dipodomys_merriami,F,43
Dipodomys_spectabilis,F,84
Dipodomys_spectabilis,F,87
Dipodomys_spectabilis,F,117
Dipodomys_merriami,F,42
Dipodomys_merriami,F,41
Dipodomys_spectabilis,F,140
Dipodomys_merriami,F,40
Dipodomys_merriami,M,45
Neotoma_albigula,M,225
Onychomys_torridus,M,18
Dipodomys_merriami,M,47
Dipodomys_spectabilis,M,89
Dipodomys_merriami,M,51
Perognathus_flavus,M,8
Dipodomys_merriami,M,47
Dipodomys_spectabilis,M,149
Dipodomys_spectabilis,F,124
Dipodomys_spectabilis,F,73
Dipodomys_merriami,M,48
Dipodomys_spectabilis,M,139
Dipodomys_merriami,M,41
Dipodomys_spectabilis,M,123
Dipodomys_merriami,F,41
Dipodomys_spectabilis,F,114
Dipodomys_spectabilis,F,59
Neotoma_albigula,M,204
Dipodomys_spectabilis,F,90
Dipodomys_merriami,M,45
Neotoma_albigula,M,212
Dipodomys_merriami,M,43
Dipodomys_spectabilis,F,91
Dipodomys_spectabilis,M,50
Dipodomys_merriami,M,44
Dipodomys_spectabilis,F,113
Dipodomys_merriami,M,36
Dipodomys_spectabilis,F,90
Dipodomys_merriami,F,50
Onychomys_torridus,F,9
Onychomys_leucogaster,F,29
Dipodomys_spectabilis,M,137
Dipodomys_spectabilis,M,57
Dipodomys_spectabilis,F,121
Dipodomys_merriami,F,31
Dipodomys_merriami,F,41
Dipodomys_merriami,M,37
Dipodomys_spectabilis,F,83
Neotoma_albigula,F,174
Dipodomys_spectabilis,F,116
Dipodomys_spectabilis,F,74
Dipodomys_spectabilis,M,130
Dipodomys_merriami,M,40
Neotoma_albigula,F,212
Dipodomys_merriami,M,41
Dipodomys_spectabilis,F,83
Dipodomys_merriami,M,48
Dipodomys_merriami,F,41
Dipodomys_spectabilis,M,118
Peromyscus_maniculatus,F,22
Dipodomys_spectabilis,M,102
Dipodomys_merriami,M,42
Neotoma_albigula,F,182
Dipodomys_merriami,F,29
Dipodomys_merriami,M,23
Dipodomys_spectabilis,F,138
Dipodomys_spectabilis,M,131
Dipodomys_merriami,M,41
Dipodomys_spectabilis,F,115
Dipodomys_spectabilis,F,121
Dipodomys_merriami,F,38
Dipodomys_spectabilis,M,126
Dipodomys_spectabilis,F,120
Chaetodipus_penicillatus,M,15
Dipodomys_merriami,F,29
Dipodomys_merriami,F,43
Dipodomys_merriami,M,41
Dipodomys_spectabilis,F,68
Dipodomys_spectabilis,M,83
Dipodomys_spectabilis,F,97
Dipodomys_merriami,M,21
Dipodomys_merriami,M,21
Dipodomys_merriami,F,44
Dipodomys_ordii,M,18
Dipodomys_merriami,M,40
Dipodomys_merriami,F,41
Dipodomys_spectabilis,F,129
Dipodomys_spectabilis,M,148
Dipodomys_merriami,M,42
Dipodomys_merriami,F,41
Onychomys_torridus,F,24
Dipodomys_spectabilis,F,108
Dipodomys_spectabilis,M,160
Onychomys_torridus,F,30
Dipodomys_ordii,M,54
Perognathus_flavus,F,7
Dipodomys_spectabilis,F,125
Dipodomys_spectabilis,M,100
Dipodomys_merriami,M,21
Dipodomys_merriami,M,49
Dipodomys_merriami,M,35
Dipodomys_ordii,M,37
Dipodomys_spectabilis,F,64
Dipodomys_spectabilis,F,131
Dipodomys_spectabilis,M,54
Dipodomys_merriami,M,44
Dipodomys_spectabilis,F,90
Dipodomys_merriami,F,39
Chaetodipus_penicillatus,F,13
Dipodomys_spectabilis,F,114
Dipodomys_spectabilis,M,90
Dipodomys_merriami,M,46
Dipodomys_spectabilis,F,110
Dipodomys_spectabilis,M,119
Dipodomys_merriami,M,29
Dipodomys_merriami,M,48
Dipodomys_spectabilis,F,124
Dipodomys_spectabilis,F,84
Dipodomys_merriami,F,43
Dipodomys_merriami,F,43
Dipodomys_merriami,M,40
Dipodomys_spectabilis,F,120
Dipodomys_ordii,F,55
Onychomys_leucogaster,F,29
Dipodomys_merriami,F,26
Dipodomys_spectabilis,F,115
Dipodomys_merriami,M,45
Dipodomys_spectabilis,M,70
Dipodomys_spectabilis,F,123
Dipodomys_merriami,F,16
Dipodomys_merriami,F,42
Dipodomys_spectabilis,F,125
Dipodomys_merriami,M,19
Dipodomys_ordii,M,55
Dipodomys_spectabilis,F,117
Dipodomys_spectabilis,M,133
Dipodomys_merriami,M,36
Dipodomys_spectabilis,F,71
Dipodomys_merriami,M,29
Dipodomys_spectabilis,F,99
Perognathus_flavus,M,7
Perognathus_flavus,M,8
Dipodomys_merriami,F,39
Neotoma_albigula,F,135
Dipodomys_spectabilis,F,94
Dipodomys_spectabilis,F,100
Dipodomys_spectabilis,F,98
Dipodomys_merriami,F,43
Perognathus_flavus,F,8
Dipodomys_ordii,M,23
Onychomys_torridus,M,12
Dipodomys_merriami,M,26
Dipodomys_spectabilis,M,124
Chaetodipus_penicillatus,M,15
Dipodomys_spectabilis,F,84
Dipodomys_merriami,M,24
Dipodomys_spectabilis,M,122
Neotoma_albigula,M,200
Chaetodipus_penicillatus,M,17
Dipodomys_merriami,M,46
Dipodomys_spectabilis,M,149
Dipodomys_merriami,F,23
Perognathus_flavus,M,8
Dipodomys_spectabilis,F,136
Dipodomys_spectabilis,M,102
Dipodomys_spectabilis,F,122
Dipodomys_merriami,F,40
Dipodomys_spectabilis,F,71
Dipodomys_merriami,F,42
Spermophilus_spilosoma,M,130
Dipodomys_spectabilis,M,160
Dipodomys_spectabilis,F,82
Dipodomys_spectabilis,M,134
Dipodomys_merriami,M,38
Dipodomys_merriami,F,40
Dipodomys_merriami,F,37
Onychomys_torridus,F,29
Dipodomys_spectabilis,F,107
Dipodomys_spectabilis,M,100
Dipodomys_spectabilis,M,32
Dipodomys_ordii,M,38
Dipodomys_spectabilis,F,73
Dipodomys_spectabilis,F,134
Dipodomys_spectabilis,F,119
Dipodomys_merriami,F,50
Dipodomys_merriami,M,43
Dipodomys_spectabilis,F,59
Dipodomys_merriami,M,48
Dipodomys_spectabilis,M,58
Dipodomys_merriami,M,41
Dipodomys_spectabilis,F,81
Dipodomys_spectabilis,M,93
Dipodomys_merriami,M,28
Onychomys_leucogaster,M,44
Onychomys_torridus,F,28
Dipodomys_merriami,F,24
Neotoma_albigula,M,232
Dipodomys_spectabilis,F,127
Chaetodipus_penicillatus,M,16
Dipodomys_merriami,F,44
Dipodomys_merriami,M,35
Dipodomys_merriami,M,17
Dipodomys_spectabilis,F,122
Dipodomys_spectabilis,M,122
Dipodomys_merriami,F,32
Dipodomys_merriami,F,48
Dipodomys_spectabilis,M,95
Dipodomys_merriami,M,45
Dipodomys_ordii,M,51
Dipodomys_merriami,M,47
Dipodomys_spectabilis,F,119
Dipodomys_spectabilis,F,124
Dipodomys_spectabilis,F,87
Dipodomys_spectabilis,F,85
Dipodomys_merriami,M,36
Dipodomys_spectabilis,F,123
Dipodomys_spectabilis,F,111
Dipodomys_merriami,F,39
Dipodomys_merriami,M,27
Dipodomys_spectabilis,F,105
Dipodomys_spectabilis,M,132
Dipodomys_merriami,F,45
Dipodomys_spectabilis,F,96
Dipodomys_merriami,F,40
Dipodomys_spectabilis,F,120
Dipodomys_merriami,M,43
Dipodomys_merriami,F,46
Dipodomys_merriami,F,43
Dipodomys_spectabilis,F,86
Perognathus_flavus,M,8
Dipodomys_merriami,M,34
Dipodomys_spectabilis,M,106
Onychomys_torridus,F,22
Onychomys_leucogaster,F,29
Dipodomys_spectabilis,F,98
Dipodomys_ordii,M,33
Dipodomys_merriami,M,46
Chaetodipus_penicillatus,F,12
Dipodomys_spectabilis,M,130
Chaetodipus_penicillatus,F,10
Dipodomys_spectabilis,M,106
Dipodomys_merriami,F,39
Neotoma_albigula,M,113
Dipodomys_merriami,F,45
Neotoma_albigula,F,115
Dipodomys_merriami,F,36
Dipodomys_merriami,M,24
Dipodomys_spectabilis,F,120
Neotoma_albigula,M,190
Chaetodipus_penicillatus,M,10
Dipodomys_merriami,M,48
Dipodomys_merriami,F,29
Dipodomys_spectabilis,F,131
Dipodomys_merriami,F,34
Dipodomys_spectabilis,M,101
Dipodomys_merriami,F,37
Dipodomys_merriami,F,47
Dipodomys_spectabilis,M,133
Dipodomys_spectabilis,M,63
Dipodomys_merriami,M,46
Dipodomys_spectabilis,F,81
Dipodomys_spectabilis,M,71
Dipodomys_spectabilis,F,65
Dipodomys_spectabilis,F,80
Dipodomys_spectabilis,F,130
Dipodomys_merriami,F,47
Dipodomys_spectabilis,F,118
Dipodomys_spectabilis,M,91
Dipodomys_spectabilis,F,120
Peromyscus_eremicus,M,19
Dipodomys_merriami,M,45
Peromyscus_eremicus,F,14
Dipodomys_spectabilis,F,122
Dipodomys_merriami,M,37
Dipodomys_merriami,F,36
Dipodomys_spectabilis,F,95
Chaetodipus_penicillatus,M,18
Onychomys_leucogaster,M,17
Dipodomys_spectabilis,F,123
Neotoma_albigula,M,189
Dipodomys_merriami,F,17
Dipodomys_merriami,M,50
Dipodomys_spectabilis,M,126
Dipodomys_merriami,F,44
Perognathus_flavus,M,8
Dipodomys_merriami,M,44
Chaetodipus_penicillatus,F,13
Dipodomys_merriami,M,39
Dipodomys_spectabilis,F,115
Dipodomys_ordii,M,38
Dipodomys_spectabilis,M,138
Neotoma_albigula,F,179
Peromyscus_maniculatus,F,21
Dipodomys_spectabilis,M,105
Dipodomys_merriami,F,43
Chaetodipus_penicillatus,M,14
Dipodomys_merriami,M,32
Dipodomys_merriami,F,36
Dipodomys_merriami,M,40
Dipodomys_merriami,M,36
Peromyscus_maniculatus,M,19
Dipodomys_spectabilis,F,139
Onychomys_leucogaster,M,20
Dipodomys_spectabilis,F,108
Onychomys_torridus,M,12
Dipodomys_merriami,F,39
Neotoma_albigula,F,149
Dipodomys_merriami,F,43
Dipodomys_merriami,M,48
Dipodomys_merriami,F,33
Dipodomys_spectabilis,M,165
Dipodomys_merriami,F,41
Dipodomys_spectabilis,M,112
Dipodomys_merriami,F,35
Dipodomys_spectabilis,F,100
Dipodomys_merriami,F,34
Dipodomys_spectabilis,F,88
Dipodomys_merriami,F,31
Dipodomys_spectabilis,F,123
Perognathus_flavus,F,6
Dipodomys_spectabilis,M,137
Neotoma_albigula,M,199
Dipodomys_spectabilis,M,96
Dipodomys_merriami,F,41
Neotoma_albigula,F,196
Dipodomys_spectabilis,M,100
Dipodomys_merriami,M,40
Dipodomys_spectabilis,F,98
Dipodomys_merriami,F,34
Onychomys_leucogaster,F,29
Dipodomys_merriami,F,36
Dipodomys_merriami,M,36
Dipodomys_merriami,M,49
Dipodomys_merriami,M,30
Dipodomys_spectabilis,F,83
Chaetodipus_penicillatus,F,14
Dipodomys_spectabilis,F,88
Dipodomys_merriami,F,47
Dipodomys_merriami,F,43
Dipodomys_spectabilis,F,136
Dipodomys_spectabilis,F,82
Onychomys_leucogaster,F,33
Dipodomys_spectabilis,M,70
Dipodomys_spectabilis,F,119
Dipodomys_spectabilis,F,115
Onychomys_leucogaster,F,33
Neotoma_albigula,F,158
Dipodomys_merriami,M,46
Dipodomys_spectabilis,M,107
Dipodomys_spectabilis,M,126
Chaetodipus_penicillatus,M,19
Peromyscus_eremicus,F,24
Dipodomys_merriami,F,45
Neotoma_albigula,M,189
Dipodomys_spectabilis,F,122
Dipodomys_merriami,F,39
Dipodomys_merriami,F,31
Dipodomys_merriami,M,30
Dipodomys_spectabilis,F,124
Dipodomys_ordii,M,54
Dipodomys_spectabilis,F,133
Dipodomys_spectabilis,F,122
Dipodomys_spectabilis,F,110
Perognathus_flavus,M,7
Dipodomys_merriami,M,52
Dipodomys_merriami,M,49
Perognathus_flavus,M,8
Peromyscus_eremicus,M,19
Dipodomys_merriami,M,43
Neotoma_albigula,F,181
Chaetodipus_penicillatus,F,14
Onychomys_torridus,M,24
Dipodomys_spectabilis,F,128
Dipodomys_spectabilis,M,136
Dipodomys_spectabilis,F,100
Dipodomys_merriami,F,44
Chaetodipus_penicillatus,M,13
Dipodomys_merriami,F,40
Dipodomys_merriami,M,41
Perognathus_flavus,M,6
Dipodomys_spectabilis,M,127
Perognathus_flavus,M,7
Onychomys_leucogaster,M,24
Dipodomys_spectabilis,F,134
Onychomys_torridus,F,20
Chaetodipus_penicillatus,M,15
Dipodomys_spectabilis,F,125
Dipodomys_spectabilis,F,100
Peromyscus_eremicus,F,13
Dipodomys_merriami,M,37
Dipodomys_merriami,F,40
Dipodomys_spectabilis,F,114
Dipodomys_spectabilis,F,110
Dipodomys_merriami,M,41
Perognathus_flavus,M,8
Dipodomys_merriami,M,47
Neotoma_albigula,F,141
Dipodomys_merriami,F,46
Dipodomys_merriami,F,40
Onychomys_leucogaster,M,36
Dipodomys_spectabilis,M,107
Dipodomys_merriami,F,39
Onychomys_torridus,M,27
Chaetodipus_penicillatus,F,13
Dipodomys_merriami,M,47
Dipodomys_spectabilis,F,134
Neotoma_albigula,M,197
Dipodomys_merriami,F,39
Dipodomys_spectabilis,F,86
Chaetodipus_penicillatus,F,15
Perognathus_flavus,F,6
Dipodomys_spectabilis,M,158
Dipodomys_spectabilis,M,118
Dipodomys_spectabilis,F,123
Dipodomys_merriami,F,41
Dipodomys_merriami,F,49
Dipodomys_spectabilis,M,124
Dipodomys_merriami,F,42
Dipodomys_spectabilis,F,106
Perognathus_flavus,F,7
Dipodomys_merriami,M,38
Dipodomys_merriami,F,47
Dipodomys_spectabilis,F,114
Dipodomys_spectabilis,M,140
Perognathus_flavus,F,6
Peromyscus_eremicus,F,20
Dipodomys_ordii,M,45
Neotoma_albigula,M,118
Onychomys_torridus,F,28
Dipodomys_spectabilis,F,112
